,Year,Country,Population,GDP
613,1965,NOR,3723168.0,8058681060.0
614,1965,EST,1294566.0,..
615,1965,FRA,49818028.0,102000000000.0
616,1965,ESP,31954292.0,24756958695.0
617,1965,EGY,30433022.0,4948667540
618,1965,ITA,52112350.0,67978153851.0
619,1965,AZE,4592609.0,..
620,1965,RUS,126745000.0,..
621,1965,ARG,22159650.0,28344705967
622,1965,CUB,7958169.0,..
623,1965,BLR,8610000.0,..
624,1965,CMR,5773543.0,814139855.8
625,1965,MEX,44123853.0,21840000000.0
626,1965,USA,194303000.0,744000000000.0
627,1965,HUN,10147935.0,..
628,1965,BRN,102386.0,114040245.7
629,1965,PAK,50917975.0,5884712096.0
630,1965,IRQ,8375790.0,..
631,1965,QAT,73633.0,..
632,1965,CAN,19678000.0,55342244543
633,1965,IRL,2877300.0,2945704143.0
634,1965,AUS,11388000.0,25937954978.0
635,1965,MAR,14230163.0,2948325264.0
636,1965,ERI,1148189,..
637,1965,JOR,1173606.0,599831979.8
638,1965,TUN,4547941.0,991047619
639,1965,BEL,9463667.0,17371457608.0
640,1965,DJI,114963.0,..
641,1965,COM,207424.0,..
642,1965,KAZ,11841920.0,..
643,1965,MDV,102718.0,..
644,1965,ETH,25013626.0,..
645,1965,UZB,10116870.0,..
646,1965,KGZ,2573300.0,..
647,1965,TJK,2487976.0,..
648,1965,JPN,98883000.0,90950278258.0
649,1965,BRA,83373530.0,21790035117.0
650,1965,ISR,2563000.0,3663333333.0
651,1965,SWE,7733853.0,23260320646.0
652,1965,TUR,30972994.0,11966666667.0
653,1965,ARM,2211319.0,..
654,1965,CIV,4226844.0,919771356.4
655,1965,KEN,9530173.0,997919320.0
656,1965,BEN,2632356.0,289908720.6
657,1965,GHA,7739473.0,2053462872
658,1965,SOM,3068459.0,243724533.2
659,1965,SYR,5373137.0,1472036551
660,1965,GBR,54348050.0,101000000000.0
661,1965,CHI,114995.0,..
662,1965,IND,499123324.0,59554856000.0
663,1965,POL,31444950.0,..
664,1965,PAN,1314677.0,852485300
665,1965,GEO,3921600.0,..
666,1965,GUY,651868.0,213235294.1
667,1965,VEN,9692278.0,8427777778
668,1965,COL,18725245.0,5760761905.0
669,1965,PER,11711392.0,5166861068.0
670,1965,UGA,7986066.0,884873949.6
671,1965,NZL,2628400.0,5654463586.0
672,1965,ECU,5243977.0,2387048255.0
673,1965,TKM,1892599.0,..
674,1965,TTO,911737.0,736568861.9
675,1965,DOM,3877765.0,888100000
676,1965,JAM,1756511.0,972140557.2
677,1965,LBR,1245102.0,..
678,1965,SUR,328936.0,154150000.0
679,1965,PLW,11003.0,..
680,1965,LTU,2971450.0,..
681,1965,NAM,716584.0,..
682,1965,UKR,45264548.0,..
683,1965,ISL,192286.0,523694949.4
684,1965,AUT,7270889.0,9994070616.0
685,1965,RWA,3235531.0,148799980.0
686,1965,DMA,65038.0,..
687,1965,MLT,318800.0,..
688,1965,LUX,331500.0,921600736.3
689,1965,CYP,580966.0,..
